Frequency (Hz)	Level (dB)
1.345825	-32.126591
2.691650	-31.902760
4.037476	-30.834341
5.383301	-30.872076
6.729126	-31.860994
8.074951	-30.797762
9.420776	-30.744648
10.766602	-30.678421
12.112427	-29.580038
13.458252	-29.905304
14.804077	-29.739941
16.149902	-28.971209
17.495728	-29.932348
18.841553	-30.696348
20.187378	-31.168266
21.533203	-30.061415
22.879028	-28.945505
24.224854	-29.779793
25.570679	-32.025448
26.916504	-31.745932
28.262329	-30.752993
29.608154	-31.105352
30.953979	-32.259090
32.299805	-32.211826
33.645630	-32.311001
34.991455	-30.857258
36.337280	-30.848579
37.683105	-31.092009
39.028931	-32.456181
40.374756	-33.941925
41.720581	-34.010029
43.066406	-34.011879
44.412231	-34.501762
45.758057	-34.005352
47.103882	-35.005062
48.449707	-34.031788
49.795532	-34.448860
51.141357	-35.810661
52.487183	-37.125355
53.833008	-37.425640
55.178833	-36.209038
56.524658	-36.884567
57.870483	-38.260815
59.216309	-37.635517
60.562134	-37.924641
61.907959	-39.366093
63.253784	-38.852264
64.599609	-38.834827
65.945435	-39.560673
67.291260	-40.070724
68.637085	-40.269730
69.982910	-39.316753
71.328735	-39.158535
72.674561	-41.365883
74.020386	-40.813038
75.366211	-40.226898
76.712036	-40.394646
78.057861	-41.314133
79.403687	-41.989628
80.749512	-41.915695
82.095337	-41.193542
83.441162	-40.436256
84.786987	-39.953312
86.132812	-40.667492
87.478638	-42.276173
88.824463	-42.091892
90.170288	-42.115459
91.516113	-42.329052
92.861938	-42.518951
94.207764	-42.432571
95.553589	-42.274521
96.899414	-43.010990
98.245239	-42.609535
99.591064	-42.506325
100.936890	-42.032413
102.282715	-41.255356
103.628540	-42.017601
104.974365	-42.938549
106.320190	-42.619724
107.666016	-42.256607
109.011841	-42.371914
110.357666	-44.168407
111.703491	-44.044147
113.049316	-43.345734
114.395142	-42.579708
115.740967	-42.771603
117.086792	-42.486282
118.432617	-41.611084
119.778442	-42.301270
121.124268	-41.506886
122.470093	-39.911243
123.815918	-39.099155
125.161743	-40.103352
126.507568	-40.212952
127.853394	-39.657467
129.199219	-38.815609
130.545044	-38.568451
131.890869	-37.879654
133.236694	-37.441624
134.582520	-37.497974
135.928345	-36.605644
137.274170	-36.693810
138.619995	-36.253052
139.965820	-35.029991
141.311646	-35.920975
142.657471	-37.953209
144.003296	-37.067528
145.349121	-35.215542
146.694946	-35.074345
148.040771	-36.884766
149.386597	-36.487358
150.732422	-36.501049
152.078247	-36.535316
153.424072	-35.994537
154.769897	-36.874104
156.115723	-36.718288
157.461548	-35.869717
158.807373	-35.744617
160.153198	-35.742043
161.499023	-35.069084
162.844849	-35.645321
164.190674	-36.010628
165.536499	-35.375900
166.882324	-35.407181
168.228149	-36.214947
169.573975	-36.392685
170.919800	-37.256516
172.265625	-36.230621
173.611450	-35.628254
174.957275	-35.247158
176.303101	-35.725628
177.648926	-36.903362
178.994751	-36.869286
180.340576	-35.501274
181.686401	-35.150066
183.032227	-35.592396
184.378052	-35.691010
185.723877	-35.065315
187.069702	-34.907528
188.415527	-35.977089
189.761353	-36.246239
191.107178	-35.601757
192.453003	-34.714249
193.798828	-34.682491
195.144653	-34.406643
196.490479	-34.768452
197.836304	-34.719963
199.182129	-34.428749
200.527954	-33.633869
201.873779	-32.675163
203.219604	-32.029018
204.565430	-32.790009
205.911255	-32.708775
207.257080	-33.221783
208.602905	-32.550274
209.948730	-31.658369
211.294556	-31.675726
212.640381	-31.287544
213.986206	-30.907440
215.332031	-30.932741
216.677856	-31.128551
218.023682	-31.132805
219.369507	-30.165234
220.715332	-30.290230
222.061157	-30.343050
223.406982	-30.331327
224.752808	-30.922279
226.098633	-30.632576
227.444458	-29.538319
228.790283	-28.937431
230.136108	-28.778894
231.481934	-29.613689
232.827759	-31.497990
234.173584	-30.290356
235.519409	-29.588360
236.865234	-29.986147
238.211060	-29.392693
239.556885	-30.163260
240.902710	-30.761120
242.248535	-31.613140
243.594360	-31.399088
244.940186	-31.499641
246.286011	-31.164051
247.631836	-32.484013
248.977661	-32.176380
250.323486	-32.828629
251.669312	-32.622505
253.015137	-31.877279
254.360962	-31.950054
255.706787	-32.829132
257.052612	-31.941616
258.398438	-31.821548
259.744263	-31.465240
261.090088	-31.664297
262.435913	-32.273712
263.781738	-32.345543
265.127563	-32.345627
266.473389	-32.459671
267.819214	-33.734543
269.165039	-33.240261
270.510864	-33.049698
271.856689	-32.917603
273.202515	-32.815380
274.548340	-32.427643
275.894165	-33.544098
277.239990	-34.664795
278.585815	-34.509026
279.931641	-32.948078
281.277466	-33.497925
282.623291	-35.387295
283.969116	-35.291477
285.314941	-34.433758
286.660767	-33.986465
288.006592	-33.704216
289.352417	-35.353573
290.698242	-34.883625
292.044067	-34.881779
293.389893	-33.815800
294.735718	-34.297321
296.081543	-35.081936
297.427368	-35.304501
298.773193	-34.254856
300.119019	-33.738277
301.464844	-34.822357
302.810669	-34.943474
304.156494	-34.518940
305.502319	-35.990910
306.848145	-37.627853
308.193970	-36.896687
309.539795	-35.358501
310.885620	-34.471004
312.231445	-35.026493
313.577271	-36.151909
314.923096	-35.446617
316.268921	-34.639637
317.614746	-34.912243
318.960571	-35.254890
320.306396	-35.090168
321.652222	-34.850571
322.998047	-36.336025
324.343872	-34.916111
325.689697	-34.530270
327.035522	-34.930653
328.381348	-35.841320
329.727173	-35.141781
331.072998	-34.288303
332.418823	-35.997173
333.764648	-35.343620
335.110474	-34.858257
336.456299	-35.900543
337.802124	-34.769295
339.147949	-36.091698
340.493774	-34.930401
341.839600	-34.850315
343.185425	-35.897987
344.531250	-34.777290
345.877075	-35.628731
347.222900	-34.660423
348.568726	-33.603027
349.914551	-33.094769
351.260376	-33.282829
352.606201	-32.675816
353.952026	-32.924561
355.297852	-32.579262
356.643677	-31.571800
357.989502	-32.343685
359.335327	-33.577927
360.681152	-33.784443
362.026978	-33.756203
363.372803	-33.473618
364.718628	-33.710194
366.064453	-32.684193
367.410278	-32.734280
368.756104	-33.341328
370.101929	-32.678455
371.447754	-33.109459
372.793579	-32.977829
374.139404	-33.210964
375.485229	-34.351475
376.831055	-34.059608
378.176880	-33.320522
379.522705	-33.680340
380.868530	-34.035423
382.214355	-34.384686
383.560181	-35.762039
384.906006	-36.232349
386.251831	-34.653664
387.597656	-34.800297
388.943481	-34.001446
390.289307	-33.519211
391.635132	-33.930656
392.980957	-34.245461
394.326782	-35.669933
395.672607	-35.684162
397.018433	-35.180019
398.364258	-36.269310
399.710083	-35.278160
401.055908	-35.542515
402.401733	-36.929733
403.747559	-35.837215
405.093384	-36.015091
406.439209	-36.016308
407.785034	-36.514740
409.130859	-34.988415
410.476685	-35.790230
411.822510	-36.403130
413.168335	-35.399647
414.514160	-37.396553
415.859985	-37.358574
417.205811	-36.177101
418.551636	-37.326370
419.897461	-38.554848
421.243286	-38.207714
422.589111	-38.976303
423.934937	-40.747471
425.280762	-40.568989
426.626587	-40.207325
427.972412	-41.123566
429.318237	-39.375496
430.664062	-39.364632
432.009888	-39.755444
433.355713	-38.992260
434.701538	-39.093067
436.047363	-39.303814
437.393188	-41.050591
438.739014	-40.306915
440.084839	-40.075325
441.430664	-40.581470
442.776489	-41.202454
444.122314	-42.326412
445.468140	-42.648842
446.813965	-43.017986
448.159790	-42.258495
449.505615	-42.344109
450.851440	-43.426067
452.197266	-42.103458
453.543091	-43.054329
454.888916	-44.290150
456.234741	-43.673176
457.580566	-43.719975
458.926392	-43.892712
460.272217	-44.620441
461.618042	-46.538971
462.963867	-46.708031
464.309692	-46.240231
465.655518	-46.459595
467.001343	-47.041340
468.347168	-47.600014
469.692993	-47.652199
471.038818	-48.167614
472.384644	-49.045376
473.730469	-49.716988
475.076294	-50.918476
476.422119	-51.925770
477.767944	-52.038185
479.113770	-51.983517
480.459595	-51.980663
481.805420	-51.912071
483.151245	-52.805820
484.497070	-52.266693
485.842896	-50.543602
487.188721	-50.104439
488.534546	-49.310463
489.880371	-50.059956
491.226196	-50.344257
492.572021	-48.609932
493.917847	-48.269897
495.263672	-47.294907
496.609497	-46.016605
497.955322	-44.857033
499.301147	-44.465767
500.646973	-45.396980
501.992798	-45.146225
503.338623	-45.045448
504.684448	-43.909477
506.030273	-42.599972
507.376099	-42.751842
508.721924	-42.135872
510.067749	-41.394127
511.413574	-40.727749
512.759399	-41.190907
514.105225	-41.032722
515.451050	-40.748302
516.796875	-40.813908
518.142700	-40.285370
519.488525	-39.322659
520.834351	-38.313007
522.180176	-38.921883
523.526001	-39.756817
524.871826	-39.011738
526.217651	-38.622761
527.563477	-38.104183
528.909302	-38.196491
530.255127	-37.775772
531.600952	-36.940647
532.946777	-36.404003
534.292603	-35.717251
535.638428	-36.292206
536.984253	-36.778282
538.330078	-36.793888
539.675903	-35.862270
541.021729	-35.625221
542.367554	-35.684334
543.713379	-34.455868
545.059204	-34.745865
546.405029	-35.431355
547.750854	-35.906010
549.096680	-35.045807
550.442505	-35.274300
551.788330	-34.659248
553.134155	-35.101212
554.479980	-34.028397
555.825806	-33.214825
557.171631	-33.980473
558.517456	-34.548508
559.863281	-34.840412
561.209106	-33.759274
562.554932	-33.793079
563.900757	-32.997688
565.246582	-32.532166
566.592407	-31.977726
567.938232	-32.051552
569.284058	-32.189896
570.629883	-32.858658
571.975708	-32.982925
573.321533	-33.676079
574.667358	-33.344955
576.013184	-32.839298
577.359009	-32.755398
578.704834	-32.053711
580.050659	-31.443918
581.396484	-31.328562
582.742310	-30.962896
584.088135	-31.538059
585.433960	-33.461201
586.779785	-33.942474
588.125610	-32.520641
589.471436	-32.273808
590.817261	-32.517193
592.163086	-32.761524
593.508911	-32.998104
594.854736	-31.748800
596.200562	-31.456120
597.546387	-31.358547
598.892212	-31.334105
600.238037	-30.886522
601.583862	-31.737041
602.929688	-31.418337
604.275513	-31.248917
605.621338	-31.870401
606.967163	-33.652065
608.312988	-33.262783
609.658813	-32.148643
611.004639	-31.217512
612.350464	-32.227982
613.696289	-33.232632
615.042114	-33.133900
616.387939	-32.374104
617.733765	-32.818977
619.079590	-33.355610
620.425415	-32.807915
621.771240	-31.405682
623.117065	-31.517071
624.462891	-33.270943
625.808716	-33.260548
627.154541	-32.170456
628.500366	-31.656231
629.846191	-32.297024
631.192017	-33.115967
632.537842	-33.502396
633.883667	-32.989723
635.229492	-32.951607
636.575317	-33.471817
637.921143	-34.025894
639.266968	-32.818905
640.612793	-32.907608
641.958618	-33.813736
643.304443	-33.568676
644.650269	-33.712006
645.996094	-34.307903
647.341919	-33.904160
648.687744	-33.907322
