Frequency (Hz)	Level (dB)
1.345825	-42.557228
2.691650	-42.218422
4.037476	-41.236233
5.383301	-41.314320
6.729126	-42.458599
8.074951	-41.586010
9.420776	-41.633289
10.766602	-41.745026
12.112427	-41.063293
13.458252	-41.779808
14.804077	-41.961403
16.149902	-41.559780
17.495728	-42.554714
18.841553	-42.653873
20.187378	-42.994919
21.533203	-42.478973
22.879028	-41.787216
24.224854	-41.938457
25.570679	-43.565922
26.916504	-43.327637
28.262329	-42.517063
29.608154	-42.549129
30.953979	-43.124821
32.299805	-42.558380
33.645630	-42.627930
34.991455	-41.340530
36.337280	-41.443630
37.683105	-41.220867
39.028931	-41.964024
40.374756	-42.684475
41.720581	-42.339104
43.066406	-42.381088
44.412231	-42.794895
45.758057	-41.896778
47.103882	-42.284737
48.449707	-40.610180
49.795532	-40.509281
51.141357	-41.458054
52.487183	-42.414104
53.833008	-42.543980
55.178833	-41.222847
56.524658	-41.506332
57.870483	-42.614437
59.216309	-41.478020
60.562134	-41.283936
61.907959	-42.348469
63.253784	-41.502346
64.599609	-41.428993
65.945435	-42.122452
67.291260	-42.674202
68.637085	-42.953339
69.982910	-41.826183
71.328735	-41.589462
72.674561	-43.366543
74.020386	-42.460136
75.366211	-41.504974
76.712036	-41.433105
78.057861	-42.161709
79.403687	-42.721775
80.749512	-42.671391
82.095337	-41.991341
83.441162	-41.273331
84.786987	-40.780083
86.132812	-41.382801
87.478638	-42.633221
88.824463	-42.525013
90.170288	-42.223766
91.516113	-42.184196
92.861938	-41.993607
94.207764	-41.739510
95.553589	-41.563133
96.899414	-42.301010
98.245239	-42.022652
99.591064	-42.062023
100.936890	-41.853775
102.282715	-41.041382
103.628540	-41.825005
104.974365	-42.669083
106.320190	-42.477787
107.666016	-42.004845
109.011841	-42.035423
110.357666	-43.632763
111.703491	-43.295532
113.049316	-42.619873
114.395142	-41.916050
115.740967	-42.163807
117.086792	-42.307167
118.432617	-41.904987
119.778442	-43.002785
121.124268	-42.797791
122.470093	-41.761528
123.815918	-41.377991
125.161743	-42.820080
126.507568	-43.307278
127.853394	-43.317928
129.199219	-42.722149
130.545044	-42.746517
131.890869	-42.399033
133.236694	-42.202187
134.582520	-42.501297
135.928345	-41.672081
137.274170	-41.983295
138.619995	-41.728470
139.965820	-40.509377
141.311646	-41.500809
142.657471	-43.555470
144.003296	-42.788132
145.349121	-41.040134
146.694946	-40.945950
148.040771	-42.663139
149.386597	-42.407688
150.732422	-42.377544
152.078247	-42.376686
153.424072	-41.781616
154.769897	-42.740616
156.115723	-42.414600
157.461548	-41.532146
158.807373	-41.488194
160.153198	-41.672054
161.499023	-41.021446
162.844849	-41.653263
164.190674	-41.968739
165.536499	-41.368259
166.882324	-41.373238
168.228149	-42.117821
169.573975	-42.422726
170.919800	-43.350147
172.265625	-42.359493
173.611450	-41.733677
174.957275	-41.243355
176.303101	-41.756611
177.648926	-42.866703
178.994751	-42.831192
180.340576	-41.491230
181.686401	-41.155514
183.032227	-41.518127
184.378052	-41.714611
185.723877	-41.209328
187.069702	-41.120399
188.415527	-42.296021
189.761353	-42.795071
191.107178	-42.192688
192.453003	-41.604149
193.798828	-41.827969
195.144653	-41.841110
196.490479	-42.547832
197.836304	-42.652836
199.182129	-42.604519
200.527954	-42.183903
201.873779	-41.508606
203.219604	-41.066982
204.565430	-42.305698
205.911255	-42.265938
207.257080	-43.106705
208.602905	-42.592766
209.948730	-41.979946
211.294556	-42.167034
212.640381	-42.034142
213.986206	-41.779228
215.332031	-42.029228
216.677856	-42.529034
218.023682	-42.568687
219.369507	-41.846817
220.715332	-42.080730
222.061157	-42.288033
223.406982	-42.283657
224.752808	-42.977192
226.098633	-42.747536
227.444458	-41.713242
228.790283	-41.220310
230.136108	-40.993443
231.481934	-41.723000
232.827759	-43.570473
234.173584	-42.303093
235.519409	-41.468266
236.865234	-41.802631
238.211060	-41.172302
239.556885	-41.712036
240.902710	-42.204475
242.248535	-42.941055
243.594360	-42.586483
244.940186	-42.479748
246.286011	-42.016953
247.631836	-43.167656
248.977661	-42.670025
250.323486	-43.173218
251.669312	-42.806717
253.015137	-41.873199
254.360962	-41.950863
255.706787	-42.538609
257.052612	-41.572823
258.398438	-41.339756
259.744263	-40.772396
261.090088	-40.989372
262.435913	-41.485088
263.781738	-41.431374
265.127563	-41.313614
266.473389	-41.448669
267.819214	-42.725780
269.165039	-42.072868
270.510864	-41.815239
271.856689	-41.753017
273.202515	-41.505848
274.548340	-41.044018
275.894165	-42.187386
277.239990	-43.247936
278.585815	-42.957779
279.931641	-41.382202
281.277466	-41.929089
282.623291	-43.712212
283.969116	-43.532856
285.314941	-42.623486
286.660767	-42.011738
288.006592	-41.714809
289.352417	-43.337536
290.698242	-42.851925
292.044067	-42.724789
293.389893	-41.591053
294.735718	-41.951454
296.081543	-42.568779
297.427368	-42.731087
298.773193	-41.645603
300.119019	-40.883270
301.464844	-41.960957
302.810669	-41.901321
304.156494	-41.394108
305.502319	-42.731686
306.848145	-44.269154
308.193970	-43.506458
309.539795	-41.898376
310.885620	-40.990955
312.231445	-41.561359
313.577271	-42.537189
314.923096	-41.729137
316.268921	-40.979290
317.614746	-41.201862
318.960571	-41.496853
320.306396	-41.463070
321.652222	-41.122536
322.998047	-42.601234
324.343872	-41.329933
325.689697	-41.164570
327.035522	-41.554596
328.381348	-42.541733
329.727173	-41.960316
331.072998	-41.227100
332.418823	-42.910652
333.764648	-42.355579
335.110474	-41.970715
336.456299	-43.022713
337.802124	-42.119434
339.147949	-43.687885
340.493774	-42.567791
341.839600	-42.454437
343.185425	-43.619926
344.531250	-42.808296
345.877075	-43.717079
347.222900	-42.893486
348.568726	-41.615963
349.914551	-41.377102
351.260376	-41.751457
352.606201	-41.162033
353.952026	-41.478844
355.297852	-41.234505
356.643677	-40.172638
357.989502	-41.124180
359.335327	-42.419418
360.681152	-42.505100
362.026978	-42.524734
363.372803	-42.406837
364.718628	-42.637222
366.064453	-41.474373
367.410278	-41.667805
368.756104	-42.238194
370.101929	-41.569225
371.447754	-41.932369
372.793579	-41.770508
374.139404	-42.068104
375.485229	-42.960201
376.831055	-42.623783
378.176880	-41.801334
379.522705	-42.226814
380.868530	-42.348473
382.214355	-42.649296
383.560181	-43.920670
384.906006	-44.309570
386.251831	-42.706432
387.597656	-42.632984
388.943481	-41.819546
390.289307	-41.170692
391.635132	-41.340481
392.980957	-41.619286
394.326782	-42.868546
395.672607	-42.736168
397.018433	-42.042309
398.364258	-42.973240
399.710083	-41.884888
401.055908	-41.981293
402.401733	-43.126812
403.747559	-42.007317
405.093384	-42.070053
406.439209	-41.832405
407.785034	-42.037380
409.130859	-40.520317
410.476685	-41.157394
411.822510	-41.498455
413.168335	-40.444656
414.514160	-42.301514
415.859985	-41.978394
417.205811	-40.645515
418.551636	-41.761208
419.897461	-42.904190
421.243286	-42.289497
422.589111	-43.012280
423.934937	-44.596527
425.280762	-44.091106
426.626587	-43.620148
427.972412	-44.121758
429.318237	-42.385815
430.664062	-42.295673
432.009888	-42.482880
433.355713	-41.486931
434.701538	-41.389061
436.047363	-41.509350
437.393188	-42.995468
438.739014	-42.098373
440.084839	-41.808445
441.430664	-41.981945
442.776489	-42.400192
444.122314	-43.176212
445.468140	-43.368771
446.813965	-43.612480
448.159790	-42.501102
449.505615	-42.361668
450.851440	-43.183899
452.197266	-41.578892
453.543091	-42.230911
454.888916	-43.211258
456.234741	-42.099323
457.580566	-41.812260
458.926392	-41.595001
460.272217	-42.090504
461.618042	-43.481762
462.963867	-43.284298
464.309692	-42.328335
465.655518	-42.007191
467.001343	-42.121426
468.347168	-42.150818
469.692993	-41.622177
471.038818	-41.592987
472.384644	-41.813408
473.730469	-41.885273
475.076294	-42.542580
476.422119	-42.957088
477.767944	-42.561146
479.113770	-42.128910
480.459595	-41.901978
481.805420	-41.774952
483.151245	-42.806095
484.497070	-42.610779
485.842896	-41.270599
487.188721	-41.333565
488.534546	-41.171833
489.880371	-42.440605
491.226196	-43.510979
492.572021	-42.392277
493.917847	-42.676655
495.263672	-42.323692
496.609497	-41.658936
497.955322	-41.105206
499.301147	-41.157585
500.646973	-42.671684
501.992798	-42.865467
503.338623	-43.244358
504.684448	-42.643509
506.030273	-41.687927
507.376099	-42.191185
508.721924	-42.003769
510.067749	-41.723679
511.413574	-41.522644
512.759399	-42.168030
514.105225	-42.309601
515.451050	-42.364464
516.796875	-42.838627
518.142700	-42.623856
519.488525	-41.982891
520.834351	-41.262230
522.180176	-42.213505
523.526001	-43.148453
524.871826	-42.673496
526.217651	-42.621460
527.563477	-42.389854
528.909302	-42.622913
530.255127	-42.433441
531.600952	-41.975544
532.946777	-41.629642
534.292603	-41.087036
535.638428	-41.862167
536.984253	-42.577396
538.330078	-42.845818
539.675903	-42.149071
541.021729	-42.029518
542.367554	-42.343742
543.713379	-41.237698
545.059204	-41.563072
546.405029	-42.515587
547.750854	-43.216206
549.096680	-42.485264
550.442505	-42.828362
551.788330	-42.379780
553.134155	-43.011837
554.479980	-42.192245
555.825806	-41.478100
557.171631	-42.270958
558.517456	-42.967796
559.863281	-43.251915
561.209106	-42.484459
562.554932	-42.468670
563.900757	-41.844486
565.246582	-41.504623
566.592407	-40.977840
567.938232	-41.211815
569.284058	-41.534714
570.629883	-42.213688
571.975708	-42.486580
573.321533	-43.145699
574.667358	-42.972164
576.013184	-42.441219
577.359009	-42.433846
578.704834	-41.923588
580.050659	-41.346790
581.396484	-41.213612
582.742310	-40.913479
584.088135	-41.487530
585.433960	-43.543770
